,song_title,artist,id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,uri,track_href,analysis_url,duration_ms,time_signature
15,Heartbreaker,Dionne Warwick,2Qr7v3TzxkQ7jyazBqzSa3,0.662,0.75,8,-5.855,0,0.0226,0.0798,8.7e-06,0.34,0.82,100.773,audio_features,spotify:track:2Qr7v3TzxkQ7jyazBqzSa3,https://api.spotify.com/v1/tracks/2Qr7v3TzxkQ7jyazBqzSa3,https://api.spotify.com/v1/audio-analysis/2Qr7v3TzxkQ7jyazBqzSa3,249253,4
16,Two Tickets To Paradise,Eddie Money,4YqECYigqRPv1ISR2oVqo8,0.595,0.85,2,-8.494,1,0.0294,0.199,0.0375,0.0974,0.697,129.831,audio_features,spotify:track:4YqECYigqRPv1ISR2oVqo8,https://api.spotify.com/v1/tracks/4YqECYigqRPv1ISR2oVqo8,https://api.spotify.com/v1/audio-analysis/4YqECYigqRPv1ISR2oVqo8,237533,4
17,Money,Charli Baltimore,1HkwtH3XipPmKJeI9CZE1x,0.883,0.726,1,-7.29,1,0.196,0.00963,2.22e-05,0.114,0.456,100.964,audio_features,spotify:track:1HkwtH3XipPmKJeI9CZE1x,https://api.spotify.com/v1/tracks/1HkwtH3XipPmKJeI9CZE1x,https://api.spotify.com/v1/audio-analysis/1HkwtH3XipPmKJeI9CZE1x,223707,4
18,Into You,Fabolous,5zKx6A8xH976VZ3pXreAFQ,0.673,0.449,7,-11.209,0,0.0351,0.196,0.0,0.191,0.57,91.086,audio_features,spotify:track:5zKx6A8xH976VZ3pXreAFQ,https://api.spotify.com/v1/tracks/5zKx6A8xH976VZ3pXreAFQ,https://api.spotify.com/v1/audio-analysis/5zKx6A8xH976VZ3pXreAFQ,293200,4
19,Got Your Money,ODB,4uOSSFBofjz2y952Xzeq5W,0.935,0.45,1,-7.684,1,0.209,0.0469,0.0,0.154,0.69,103.054,audio_features,spotify:track:4uOSSFBofjz2y952Xzeq5W,https://api.spotify.com/v1/tracks/4uOSSFBofjz2y952Xzeq5W,https://api.spotify.com/v1/audio-analysis/4uOSSFBofjz2y952Xzeq5W,239707,4
20,Barbie Girl,Aqua,4tzRyCTpbOMpPUmIdPS7pZ,0.755,0.952,1,-4.42,0,0.0376,0.00921,0.0619,0.466,0.929,129.965,audio_features,spotify:track:4tzRyCTpbOMpPUmIdPS7pZ,https://api.spotify.com/v1/tracks/4tzRyCTpbOMpPUmIdPS7pZ,https://api.spotify.com/v1/audio-analysis/4tzRyCTpbOMpPUmIdPS7pZ,195040,4
21,?!?! (The What),ShaMe Aveknu,651TRXpDMisZqvXMwNYQPD,0.759,0.524,1,-10.307,1,0.398,0.125,1.92e-06,0.0972,0.47,77.446,audio_features,spotify:track:651TRXpDMisZqvXMwNYQPD,https://api.spotify.com/v1/tracks/651TRXpDMisZqvXMwNYQPD,https://api.spotify.com/v1/audio-analysis/651TRXpDMisZqvXMwNYQPD,191869,4
22,X,Xzibit,6U2F6eV8KSAMpLrZsRaNzE,0.936,0.673,4,-3.051,0,0.221,0.0849,0.0,0.122,0.807,96.914,audio_features,spotify:track:6U2F6eV8KSAMpLrZsRaNzE,https://api.spotify.com/v1/tracks/6U2F6eV8KSAMpLrZsRaNzE,https://api.spotify.com/v1/audio-analysis/6U2F6eV8KSAMpLrZsRaNzE,255987,4
23,Right Here - Human Nature Radio Mix,SWV,45G4bxDSyGABPW9KIRiaaT,0.597,0.782,9,-5.608,0,0.062,0.0418,0.00558,0.116,0.689,93.995,audio_features,spotify:track:45G4bxDSyGABPW9KIRiaaT,https://api.spotify.com/v1/tracks/45G4bxDSyGABPW9KIRiaaT,https://api.spotify.com/v1/audio-analysis/45G4bxDSyGABPW9KIRiaaT,225431,4
24,Bruised But Not Broken,Joss Stone,2oxMXAOjd5qOtyguYqAToL,0.599,0.654,1,-7.993,1,0.101,0.48,0.0,0.127,0.559,76.524,audio_features,spotify:track:2oxMXAOjd5qOtyguYqAToL,https://api.spotify.com/v1/tracks/2oxMXAOjd5qOtyguYqAToL,https://api.spotify.com/v1/audio-analysis/2oxMXAOjd5qOtyguYqAToL,255387,4
25,Ain’t No Better Love,Seal,5mV3sIgGn0uCqbcf0f5eg9,0.645,0.834,2,-3.766,0,0.0358,0.15,0.0,0.194,0.74,136.995,audio_features,spotify:track:5mV3sIgGn0uCqbcf0f5eg9,https://api.spotify.com/v1/tracks/5mV3sIgGn0uCqbcf0f5eg9,https://api.spotify.com/v1/audio-analysis/5mV3sIgGn0uCqbcf0f5eg9,285699,4
