,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
270,0.39,0.985,0,-4.254,1,0.0821,0.000673,0.0905,0.0838,0.562,139.945,audio_features,2zRPqmwh0lh2VKlvDtkQSl,spotify:track:2zRPqmwh0lh2VKlvDtkQSl,https://api.spotify.com/v1/tracks/2zRPqmwh0lh2VKlvDtkQSl,https://api.spotify.com/v1/audio-analysis/2zRPqmwh0lh2VKlvDtkQSl,179533,4
271,0.835,0.612,8,-6.262,0,0.149,0.0571,0.0,0.0895,0.689,147.085,audio_features,0LlObwsSjhvPFKPPpSWOeh,spotify:track:0LlObwsSjhvPFKPPpSWOeh,https://api.spotify.com/v1/tracks/0LlObwsSjhvPFKPPpSWOeh,https://api.spotify.com/v1/audio-analysis/0LlObwsSjhvPFKPPpSWOeh,304133,4
272,0.64,0.884,6,-2.609,1,0.0428,0.0226,0.0,0.187,0.573,124.968,audio_features,6BLLQndvA0rLbLcIZmuuEJ,spotify:track:6BLLQndvA0rLbLcIZmuuEJ,https://api.spotify.com/v1/tracks/6BLLQndvA0rLbLcIZmuuEJ,https://api.spotify.com/v1/audio-analysis/6BLLQndvA0rLbLcIZmuuEJ,244000,4
273,0.975,0.711,8,-3.904,1,0.0632,0.168,0.000552,0.0799,0.815,110.621,audio_features,0wbDgMuAoy7O7pL3a69uZx,spotify:track:0wbDgMuAoy7O7pL3a69uZx,https://api.spotify.com/v1/tracks/0wbDgMuAoy7O7pL3a69uZx,https://api.spotify.com/v1/audio-analysis/0wbDgMuAoy7O7pL3a69uZx,234027,4
274,0.432,0.959,7,-6.228,1,0.379,0.0266,0.0,0.101,0.275,139.846,audio_features,6I8sydIAJCDzKWDhmxQMIT,spotify:track:6I8sydIAJCDzKWDhmxQMIT,https://api.spotify.com/v1/tracks/6I8sydIAJCDzKWDhmxQMIT,https://api.spotify.com/v1/audio-analysis/6I8sydIAJCDzKWDhmxQMIT,206227,4
275,0.705,0.572,8,-5.799,0,0.0326,0.0262,0.0,0.585,0.574,139.977,audio_features,0XETcdHr7EkjfoZFSj6Asv,spotify:track:0XETcdHr7EkjfoZFSj6Asv,https://api.spotify.com/v1/tracks/0XETcdHr7EkjfoZFSj6Asv,https://api.spotify.com/v1/audio-analysis/0XETcdHr7EkjfoZFSj6Asv,214726,4
276,0.696,0.921,0,-3.755,1,0.0363,0.00314,5.24e-05,0.0842,0.714,119.001,audio_features,0SiywuOBRcynK0uKGWdCnn,spotify:track:0SiywuOBRcynK0uKGWdCnn,https://api.spotify.com/v1/tracks/0SiywuOBRcynK0uKGWdCnn,https://api.spotify.com/v1/audio-analysis/0SiywuOBRcynK0uKGWdCnn,294573,4
277,0.894,0.678,6,-5.611,0,0.0523,0.00569,2.43e-06,0.317,0.844,105.024,audio_features,0eH2eHURaXUP15D8gQlfjx,spotify:track:0eH2eHURaXUP15D8gQlfjx,https://api.spotify.com/v1/tracks/0eH2eHURaXUP15D8gQlfjx,https://api.spotify.com/v1/audio-analysis/0eH2eHURaXUP15D8gQlfjx,216333,4
278,0.68,0.876,1,-3.646,0,0.0577,0.246,0.000187,0.0788,0.816,187.785,audio_features,3WUbVS0J4Ulf0XZR6LNRnh,spotify:track:3WUbVS0J4Ulf0XZR6LNRnh,https://api.spotify.com/v1/tracks/3WUbVS0J4Ulf0XZR6LNRnh,https://api.spotify.com/v1/audio-analysis/3WUbVS0J4Ulf0XZR6LNRnh,175360,4
279,0.876,0.631,8,-5.939,0,0.143,0.0208,0.0,0.062,0.509,102.992,audio_features,7qPvYVyM7ZU7PHz5LTvRY6,spotify:track:7qPvYVyM7ZU7PHz5LTvRY6,https://api.spotify.com/v1/tracks/7qPvYVyM7ZU7PHz5LTvRY6,https://api.spotify.com/v1/audio-analysis/7qPvYVyM7ZU7PHz5LTvRY6,217120,4
